produto,modelo,cor,marca,tamanho,preco,codigo,cliente_nome,data_live,live_nome,sacolinha
Vestido,Bolinhas,Vermelho(a),momi,1,49.9,1480,larisafugimotosakai,2026-08-04,1,27
Vestido,Lẹo,Preto(a),momi,3,49.9,1388,narjaraavila,2026-08-04,1,8
Cal̤a,Moletom,Offwhite,Milon,4,49.9,308,taticarmona_,2026-08-04,1,2
Blusa,Ursinho,Bege,,4,49.9,274,paulinha_mbs,2026-08-04,1,28
Blusa,Bolinhas,Branco(a),,,49.9,1178,mariadasdoresteixeiralopes,2026-08-04,1,3
Camisa,,Branco(a),arizona,m,49.9,298,netaribeiro81,2026-08-04,1,14
Blusa,Moletom,Verde,Mommi,2,49.9,1135,anapaula_pirolli,2026-08-04,1,24
Camisa,viscolinho,Bege,Colorita,12,49.9,850,narjaraavila,2026-08-04,1,8
Camiseta,,Mostarda,Lez a Lez,p,49.9,1213,carminhacorradi,2026-08-04,1,10
Camiseta,,Bege,individual,pp,49.9,1208,carnivaladriana,2026-08-04,1,29
Camisa,Folhas,Preto(a),Zara,11-12,49.9,810,crispessanhaornellas,2026-08-04,1,30
Sueter,,Bege,loverl,g,49.9,1113,larisafugimotosakai,2026-08-04,1,27
Slide,,Amarelo(a),Arezzo,37-38,49.9,1139,leandra24679,2026-08-04,1,31
Slide,,,Coca Cola,,49.9,1154,julianadoval_,2026-08-04,1,20
Sapatinho,,Rosa,Melisa,20-21,49.9,1377,mariadasfloresbh,2026-08-04,1,21
Slide,,Rosa,Melisa,26-27,49.9,1160,mariadasdoresteixeiralopes,2026-08-04,1,3
Papete,,Azul Escuro,Melisa,31,49.9,2040,tupperflordemanaca,2026-08-04,1,32
Sapatinho,,Azul Escuro,Melisa,29,49.9,1147,mariadasdoresteixeiralopes,2026-08-04,1,3
Sapatilha,,Preto(a),Melisa,36,49.9,3090,oliveiramartinsester,2026-08-04,1,33
Babuche,Homem Aranha,Azul,Havaianas,29-30,49.9,658,leandra24679,2026-08-04,1,31
Sapato,,Dourado(a),Constanci,37,49.9,1168,fabifrancolima,2026-08-04,1,34
Sapato,,Bege,Zara,38,49.9,3080,taticarmona_,2026-08-04,1,2
Pijama,Homem Aranha,vermelho e azul,,8,49.9,1689,santosahri,2026-08-04,1,7
Chuteira,,Laranja,Adidas,29,49.9,1160,santosahri,2026-08-04,1,7
Chuteira,,Preto(a),Adidas,,49.9,2050,danioliveira399,2026-08-04,1,36
Sandalia,,Rosa,usaflex,35,49.9,1101,joseaane_,2026-08-04,1,35
Tenis,,,Nike,22,49.9,1468,dulcilenenosaki,2026-08-04,1,18
Sapatinho,,Vinho,Melisa,33-34,49.9,1026,chris._dias._,2026-08-04,1,37
Slide,,Azul,Melisa,,49.9,2020,mariadasdoresteixeiralopes,2026-08-04,1,3
Slide,,Azul,Melisa,,49.9,2020,mariadasdoresteixeiralopes,2026-08-04,1,3
Len̤ol,,Bege,,king,49.9,1040,grazi_santospb,2026-08-04,1,16
Len̤ol,,Rose,,CASAL,49.9,1071,xuxasousa,2026-08-04,1,38
Len̤ol,,Bege,,CASAL,49.9,1072,xuxasousa,2026-08-04,1,38
Len̤ol,,Bege,,king,49.9,1042,anapaula_pirolli,2026-08-04,1,24
Len̤ol,,Bege,,solteiro,49.9,1050,carol.andrade.e.m,2026-08-04,1,19
Manta,Bolinhas,Azul,cherpa,,49.9,1026,arouchevera,2026-08-04,1,39
Manta,Cherpa,Marrom,,,49.9,1056,arouchevera,2026-08-04,1,39
Manta,Cherpa,Bege,,,49.9,1027,fabifrancolima,2026-08-04,1,34
Manta,Bolinhas,Uva,cherpa,,49.9,1057,renatacasotti.rc,2026-08-04,1,6
Manta,Zebra,PT/BC,cherpa,,49.9,1131,anapaula_pirolli,2026-08-04,1,24
Blusa,Bolinhas,Azul,,,49.9,1058,vanessamarquesvmg,2026-08-04,1,40
Capa,colcḥo,Branco(a),,casal,49.9,1127,faccocarmem,2026-08-04,1,12
Manta,Estrela(s),Colorido(a),brilha no escuro,,49.9,2080,anapaula_pirolli,2026-08-04,1,24
Manta,Estrela(s),Colorido(a),brilha no escuro,,49.9,2060,elza.6508,2026-08-04,1,41
Len̤ol,Listrada,Azul Escuro,,casal,29.9,1207,xuxasousa,2026-08-04,1,38
Len̤ol,Listrada,Azul Claro,,casal,29.9,3060,xuxasousa,2026-08-04,1,38
Len̤ol,,Azul Claro,,queen,29.9,1253,anapaula_pirolli,2026-08-04,1,24
Len̤ol,,Azul Claro,,casal,29.9,3050,xuxasousa,2026-08-04,1,38
Len̤ol,,Azul Claro,,queen,29.9,3040,joseaane_,2026-08-04,1,35
Len̤ol,,Cinza,,casal,29.9,3030,netaribeiro81,2026-08-04,1,14
Len̤ol,,Cinza,,casal,29.9,1186,arouchevera,2026-08-04,1,39
Len̤ol,,Verde,,queen,29.9,1157,franfilhadorei15,2026-08-04,1,42
Len̤ol,,Verde,,casal,29.9,3010,xuxasousa,2026-08-04,1,38
Len̤ol,,Bege,,casal,29.9,1139,anapaula_pirolli,2026-08-04,1,24
Len̤ol,,Creme,,casal,29.9,1140,arouchevera,2026-08-04,1,39
Len̤ol,,Creme,,casal,29.9,1039,anapaula_pirolli,2026-08-04,1,24
Len̤ol,,Colorido(a),,solteiro,29.9,1203,gloriagalves,2026-08-04,1,43
kit banheiro,,Azul Escuro,,,29.9,1106,grazi_santospb,2026-08-04,1,16
Cal̤a,,Bege,Zara,11-12,49.9,1837,anapaula_pirolli,2026-08-04,1,24
kit banheiro,,Vinho,,,29.9,1153,fabifrancolima,2026-08-04,1,34
kit banheiro,,Mostarda,,,29.9,1158,crispessanhaornellas,2026-08-04,1,30
Tapete,,Bege,,40x60,29.9,2071,xuxasousa,2026-08-04,1,38
Tapete,,Bege,,40x60,29.9,1159,anapaula_pirolli,2026-08-04,1,24
Tapete,,Bege,,40x60,29.9,1160,ferretti.adv,2026-08-04,1,25
Tapete,,Bege,,40x60,29.9,1117,anapaula_pirolli,2026-08-04,1,24
Tapete,,Bege,,40x60,29.9,1124,_rose_ciavarelli_,2026-08-04,1,13
Tapete,,Bege,,40x60,29.9,1163,anapaula_pirolli,2026-08-04,1,24
Len̤ol,Bolinhas,Salmao,,queen,29.9,1156,joseaane_,2026-08-04,1,35
Cal̤a,Jeans,Offwhite,Zara,11-12,49.9,1665,chris._dias._,2026-08-04,1,37
Cal̤a,Moletom,Cinza,Zara,8-9,49.9,1171,mariadasdoresteixeiralopes,2026-08-04,1,3
Cal̤a,Jeans,Azul,Hering,8,49.9,1064,gloriagalves,2026-08-04,1,43
Cal̤a,Viscose,Verde,Hering,xp,49.9,1182,ferretti.adv,2026-08-04,1,25
Cal̤a,Viscose,Laranja,Hering,xp,49.9,1272,ferretti.adv,2026-08-04,1,25
Cal̤a,Moletom,Verde,Green,12,49.9,1093,ferretti.adv,2026-08-04,1,25
Bermuda,Drifit,Vermelho(a),NBA,m,49.9,577,lidianepires9,2026-08-04,1,44
Bermuda,Drifit,Azul,NBA,p,49.9,1509,santosahri,2026-08-04,1,7
Cal̤a,Moletom,Cinza,,p,49.9,1107,anapaula_pirolli,2026-08-04,1,24
Cal̤a,Alfaiataria,Vinho,,m,49.9,1153,anapaula_pirolli,2026-08-04,1,24
Vestido,,Bege,Hering,11-12,49.9,762,anapaula_pirolli,2026-08-04,1,24
Vestido,,Vinho,roxy,p,49.9,1103,joseaane_,2026-08-04,1,35
Camiseta,Malevola,Mostarda,,g,49.9,145,taticarmona_,2026-08-04,1,2
Casaco,,rosa e verde,Two in,p,49.9,1102,lidianepires9,2026-08-04,1,44
Casaco,,Rosa,Anime,3,49.9,1516,franfilhadorei15,2026-08-04,1,42
Casaco,Couro sintetico,Branco(a),Um mais Um,6,49.9,920,mariadasdoresteixeiralopes,2026-08-04,1,3
Casaco,Couro sintetico,Rosa,Um mais Um,4,49.9,112,mariadasdoresteixeiralopes,2026-08-04,1,3
Corta Vento,,Preto(a),Tigor,8,49.9,1692,fabifrancolima,2026-08-04,1,34
Camiseta,smorfet,Branco(a),,,49.9,261,xuxasousa,2026-08-04,1,38
Camiseta,smorfet,Rosa,,m,49.9,529,elizabete.martins.56,2026-08-04,1,46
Camiseta,alice no  pais das maravilhas,Azul,,g,39.9,888,faccocarmem,2026-08-04,1,12
Shorts,Jeans,Preto(a),Authoria,16,49.9,1122,xuxasousa,2026-08-04,1,38
Camiseta,Bruno mars,Preto(a),,p/m,39.9,2108,joilmamarquesdes,2026-08-04,1,23
Camiseta,Cruela,Preto(a),Zara,p,49.9,1100,taticarmona_,2026-08-04,1,2
Camiseta,mm.,Vermelho(a),,,39.9,260,joseaane_,2026-08-04,1,35
Macaquinho,,Preto(a),,p/m,49.9,1869,leandra24679,2026-08-04,1,31
Pijama,,Vermelho(a),Jog̻,gg,49.9,1655,narjaraavila,2026-08-04,1,8
top e shorts,Academia,Bege,,p,49.9,638,mariadasdoresteixeiralopes,2026-08-04,1,3
top e shorts,Academia,Rose,,m,49.9,965,mariadasfloresbh,2026-08-04,1,21
Regata,,Rosa,,g,49.9,269,gloriagalves,2026-08-04,1,43
Saia,Florido(a),Rosa,Zara,p,49.9,1452,ferretti.adv,2026-08-04,1,25
Blusa,Moletom,Branco(a),Milon,6,49.9,142,mariadasdoresteixeiralopes,2026-08-04,1,3
Camiseta,,Creme,Milon,8,49.9,1381,camilonca,2026-08-04,1,17
Vestido,Xadrez,Verde,Vanilla Cream,p,49.9,581,anapaula_pirolli,2026-08-04,1,24
Vestido,Listrada,Azul,,p,49.9,292,larisafugimotosakai,2026-08-04,1,27
Vestido,Tuli,Branco(a),Vanilla Cream,16,49.9,1197,ferretti.adv,2026-08-04,1,25
Blazer,,Cinza,Zara,p,49.9,1348,carolineelorenza,2026-08-04,1,45
Vestido,,Preto(a),Authoria,12,49.9,1132,joseaane_,2026-08-04,1,35
Blusa,Moletom,Preto(a),King & Joe,8,49.9,1057,scurselbettio,2026-08-04,1,15
Vestido,,Laranja,Lez a Lez,pp,49.9,1502,joseaane_,2026-08-04,1,35
Camiseta,,Cinza,Levis,p,49.9,557,scurselbettio,2026-08-04,1,15
Shorts,Bolinhas,Colorido(a),Fabula,10,49.9,1143,santosahri,2026-08-04,1,7
